심각도,취약점 제목,발생지(파일),ISMS-P 위반사항,취약점 유형코드
HIGH,사용자 입력이 eval()로 전달되어 코드 실행이 가능한 취약점,payment_api.js,"ISMS-P 암호/보안 취약점 관리 및 소프트웨어 보안성 확보 관점에서, 외부 입력 검증 없이 실행 기능을 제공하는 것은 안전하지 않은 개발 관행에 해당하며, 취약점 조치 및 코드 보안성 확보 요구사항에 저촉될 수 있습니다.",Code Injection
HIGH,express v4.18.2 알려진 취약 버전 사용,package.json,"ISMS-P 패치관리 및 취약점 조치 요구사항 위반 가능성. 오픈소스 소프트웨어의 최신 보안패치 확인 및 적용 절차를 운영해야 하며, 취약 버전 방치 시 관리체계 미흡으로 평가될 수 있습니다.",Known Vulnerable Dependency
HIGH,express v4.18.2 알려진 취약 버전 사용,package.json,ISMS-P 패치관리 및 최신 보안패치 적용 요구사항과 연관됩니다. 취약 오픈소스 컴포넌트를 적시에 갱신하지 않으면 취약점 관리 미흡으로 판단될 수 있습니다.,Known Vulnerable Dependency
HIGH,사용자 입력이 eval()로 전달되어 임의 코드 실행이 가능한 취약점,payment_api.js,"ISMS-P 2.6.7(암호연산) 직접 위반은 아니나, 안전하지 않은 코드 실행 로직으로 인해 애플리케이션 보호조치 미흡 및 중요정보/시스템 무결성 침해 가능성이 큼. 또한 1.1.4 범위 설정 관점에서 핵심 서비스에 영향을 주는 기능의 위험 통제가 필요하며, 관리체계 내 안전한 구현/검증 절차 미준수에 해당할 수 있음.",Code Injection / RCE
WARNING,비밀번호 검증에 MD5를 사용,payment_api.js,ISMS-P 2.6.7 암호연산: 취약한 해시 알고리즘(MD5) 사용 금지 및 안전한 암호연산 적용 요구에 위반될 수 있습니다.,Weak Password Hashing
HIGH,사용자 입력을 eval로 실행,payment_api.js,ISMS-P 관점에서 입력값 검증 미흡으로 인한 안전하지 않은 코드 실행 통제 위반 가능성이 있습니다.,Code Injection
HIGH,이체 API의 계정 소유권 검증 부재로 인한 IDOR/권한상승,payment_api.js,"ISMS-P 2.5.2 정보시스템 접근 및 최소권한 원칙 위반 가능성이 있으며, 비인가자 접근 통제 미흡에 해당할 수 있습니다.",IDOR / Broken Access Control / Logic Bypass
HIGH,Express 외부 라이브러리 취약점 점검 필요,payment_api.js,해당 없음,SCA Dependency Issue
CRITICAL,송금 API의 출금 계좌 소유권 검증 부재로 인한 IDOR/권한 우회,payment_api.js,"개인정보의 안전성 확보조치 기준 제4조, 제6조 / ISMS-P 2.11.2 취약점 점검 및 조치",IDOR
CRITICAL,음수 금액 처리 누락으로 인한 송금 로직 반전(Logic Bypass),payment_api.js,개인정보의 안전성 확보조치 기준 제4조 / ISMS-P 2.11.2 취약점 점검 및 조치,Logic Bypass
HIGH,잔액 검사와 갱신이 원자적으로 보호되지 않아 동시성 경쟁 조건 발생,payment_api.js,개인정보의 안전성 확보조치 기준 제4조 / ISMS-P 2.11.2 취약점 점검 및 조치,Race Condition
