심각도,취약점 제목,발생지(파일),ISMS-P 위반사항,취약점 유형코드
MEDIUM,Docker 컨테이너가 비루트 사용자 없이 실행됨,ai-chatbot/Dockerfile,"최소권한 원칙 위반에 해당할 수 있으며, 개인정보 처리 시스템의 안전성 확보 측면에서 비루트 실행 및 권한 분리가 요구되는 관리적·기술적 보호조치와 충돌할 수 있습니다. 제공된 참조 중 ‘업무별 개인정보 흐름도(상세)’ 및 정보주체가 쉽게 확인할 수 있도록 표시해야 한다는 요구사항과 직접적인 1:1 매핑은 아니지만, 시스템 운영 권한을 불필요하게 크게 두는 점은 ISMS-P의 접근통제/권한관리 취지에 부합하지 않습니다.",Privilege Misconfiguration
MEDIUM,FastAPI CORS 설정에 와일드카드 허용으로 인한 브라우저 기반 교차 출처 접근 위험,analysis-engine/main.py,"최소 권한 원칙에 반하는 접근 통제 설정이며, 정보주체가 쉽게 확인할 수 있도록 표시해야 한다는 취지(참조 2)와도 충돌할 소지가 있습니다. 또한 제3자 제공/동의 철회 관련 통제(참조 3) 또는 정보주체 요청 시 즉시 고지해야 하는 사항(참조 4)과 연계된 민감 데이터가 교차 출처로 노출될 수 있는 구조는 내부 통제 미흡으로 평가될 수 있습니다.",CORS Misconfiguration
MEDIUM,sqlalchemy.text + f-string 기반 동적 SQL 구성으로 인한 SQL Injection 위험,analysis-engine/main.py,"입력값 검증 및 안전한 쿼리 구성 원칙 미준수로 인한 애플리케이션 취약점 관리 미흡. ISMS-P의 취약점 예방/조치 및 안전한 개인정보 처리 요구 취지에 부합하지 않으며, 개인정보성 리뷰 데이터가 포함될 수 있는 분석 API에서 SQL Injection 예방 통제가 미흡한 상태로 볼 수 있습니다.",SQL Injection
INFO,SQLAlchemy text() 사용 경고는 현재 스니펫 기준 오탐,analysis-engine/main.py,"해당 항목은 개인정보 조회/제공 통제 이슈가 아니라 애플리케이션 쿼리 작성 방식에 대한 점검 대상입니다. 제공된 ISMS-P 참조(신고 지체, 기술적 조치, 제3자 제공 철회, 표시 의무)와 직접적인 위반 관계는 확인되지 않았습니다.",SQL Injection
MEDIUM,디버그 DB 점검 API에서 동적 SQL 문자열을 직접 실행하여 SQL 인젝션 위험이 존재함,analysis-engine/main.py,"ISMS-P 관점에서 안전하지 않은 SQL 사용으로 인해 개인정보/업무 데이터의 비인가 조회·변조 가능성을 높이며, 정보주체에게 영향을 줄 수 있는 오류 발생 시 지체 없는 신고·조치 원칙(참조 3)과 안전한 처리에 대한 원칙에 저촉될 소지가 있습니다. 또한 동의 없이 민감 정보 조회 경로가 외부에 노출되는 경우 '알리고 동의를 받아야 함'(참조 4) 취지와도 충돌할 수 있습니다.",SQL Injection
LOW,db 컨테이너에 no-new-privileges 미설정으로 로컬 권한 상승 방지 누락,docker-compose.yml,"직접적인 ISMS-P 조항 위반으로 단정되지는 않지만, 정보보호 구성관리 및 최소권한 원칙 관점에서 보안 통제 미흡에 해당합니다. 제공된 ISMS-P 참조 조항(동의 철회, 표시, 가명처리, 분리보관)은 본 취약점과 직접 연관성은 낮습니다.",Privilege Escalation
LOW,db 컨테이너의 루트 파일시스템이 쓰기 가능함,docker-compose.yml,"제공된 ISMS-P 참조 항목(개인정보 제공 철회, 표시, 가명처리, 분리보관)과는 직접적인 대응 항목은 아닙니다. 다만 접근통제 및 안전한 운영환경 확보 측면의 일반 보안 통제 미흡으로 볼 수 있으며, 최소권한 원칙에 따라 쓰기 권한을 제한하는 개선이 필요합니다.",Container Hardening / Privilege Misconfiguration
MEDIUM,Docker 컨테이너가 비루트 사용자 지정 없이 root로 실행될 수 있음,frontend/Dockerfile,"최소권한 원칙 및 안전한 운영환경 구성 요구사항에 위배될 소지가 있습니다. ISMS-P 관점에서 비루트 실행을 통한 권한 분리와 접근 통제는 기본 통제 항목에 해당하며, 컨테이너 서비스의 보안 수준을 저하시킬 수 있습니다.",Privilege Misconfiguration
MEDIUM,Nginx 공개 프록시 location에 internal 미설정으로 인한 SSRF 위험,frontend/nginx.conf,"ISMS-P 관점에서 업무별 개인정보 흐름도 및 외부 제공/전송 경로를 명확히 통제하지 않은 상태로 볼 수 있으며, 내부 시스템으로의 비인가 접근 가능성을 방치하면 개인정보 처리 흐름 관리 및 보호조치 의무에 위배될 소지가 있습니다. 다만 본 건은 개인정보 제공 동의 철회나 정보주체 통지 의무 자체보다는, 보호조치 및 접근통제 미흡에 더 직접적으로 해당합니다.",SSRF
MEDIUM,Nginx OAuth2 프록시 경로의 내부 전용 설정 누락,frontend/nginx.conf,ISMS-P 2.6.3 응용프로그램 접근 및 2.10.3 공개서버 보안 위반 가능성이 있습니다. 외부 접근이 제한되어야 할 내부용 프록시 경로를 공개하여 접근통제가 미흡한 상태로 판단됩니다.,SSRF
MEDIUM,Nginx 프록시 location에 internal 미설정으로 인한 SSRF/프록시 오용 위험,frontend/nginx.conf,제공된 ISMS-P 참조만으로 특정 조항 위반을 단정할 수는 없습니다. 다만 내부 전용 프록시 경로가 외부에 노출된 상태는 접근통제 미흡으로 볼 수 있어 보안 관리상 개선이 필요합니다.,SSRF
LOW,Nginx 프록시 설정에서 업그레이드 헤더가 무조건 전달되어 H2C smuggling 가능성 존재,frontend/nginx.conf,"ISMS-P 관점에서 프록시/접근통제 설정이 과도하게 개방되어 있고, 외부 요청 헤더를 검증 없이 전달하는 점은 보안통제 미흡으로 볼 수 있습니다. 특히 업무별 개인정보 흐름도에 따라 외부->프론트엔드->백엔드로 이어지는 흐름이 존재한다면(참조 2), 해당 흐름의 통제와 가시성을 확보해야 하며, 정보주체가 쉽게 확인할 수 있도록 표시해야 하는 요구(참조 3) 및 정보주체 이외로부터 수집하는 개인정보 고지(참조 4)와 결합된 서비스 절차가 있다면 영향 범위를 재점검해야 합니다. 다만 제공된 정보만으로 특정 조항의 직접 위반을 단정하기는 어렵습니다.",Request Smuggling / Proxy Bypass
MEDIUM,Nginx 내부 전용이어야 할 프록시 위치에 internal 누락,frontend/nginx.conf,"ISMS-P의 원격 접근 및 접근통제 관점에서, 내부 전용 처리 경로를 외부에 노출하여 불필요한 접근 가능성을 만든다는 점에서 '승인된 사용자만 접근하도록 접근통제를 적용'해야 한다는 취지에 부합하지 않습니다. 또한 내부 요청 전용 경로의 외부 직접 접근 허용은 최소권한 원칙 및 접근통제 미흡으로 해석될 수 있습니다.",SSRF / Access Control Bypass
MEDIUM,WebSocket 프록시 location에 internal 미설정으로 외부 직접 접근 가능,frontend/nginx.conf,"ISMS-P 2.6.1 네트워크 접근 및 2.10.3 공개서버 보안, 2.11.2 취약점 점검 및 조치 요구사항과 연관됩니다. 외부에서 접근 가능한 공개 프록시 엔드포인트가 불필요하게 내부 통신 경로를 노출하면 접근통제 미흡으로 평가될 수 있습니다.",SSRF / Proxy Misuse
MEDIUM,Nginx WebSocket 프록시에서 H2C Smuggling 가능성,frontend/nginx.conf,"ISMS-P 2.6.1 네트워크 접근 및 2.10.3 공개서버 보안, 2.11.2 취약점 점검 및 조치 관점에서 부적절한 업그레이드 헤더 전달로 인한 접근통제 우회 가능성이 있어 위반 소지가 있습니다.",H2C Smuggling / Proxy Bypass
MEDIUM,HTTP 메서드 미지정 RequestMapping으로 인한 CSRF 가능성,src/main/java/com/aivle0102/bigproject/controller/AiRecipeProxyController.java,업무에 필요한 개인정보 또는 민감정보 처리 흐름에 대해 안전한 요청 통제와 보호조치가 미흡할 경우 ISMS-P의 접근통제 및 개인정보 처리 시 보호조치 취지에 부합하지 않을 수 있습니다. 특히 인증된 사용자의 의사와 무관한 요청 발생 가능성은 사용자 통제 및 보호 원칙 위반 소지가 있습니다.,CSRF
HIGH,JWT 기본 시크릿이 application.properties에 하드코딩된 보안 비밀 노출,src/main/resources/application.properties,"비밀정보 하드코딩 및 안전하지 않은 기본값 사용으로 인한 인증정보 관리 미흡. 운영환경에서 인증 비밀키 보호·분리 원칙을 위반할 수 있으며, 인증·접근통제 관련 관리체계의 취지에 반합니다.",Authentication Bypass / Token Forgery
INFO,분석 불가: 대상 파일 미확보로 비즈니스 로직 결함 판단 불가,frontend/src/utils/authStorage.js,해당 없음,
HIGH,OAuth2 인증 요청 저장소의 쿠키 기반 상태값 위변조로 로그인 흐름 우회 가능성,src/main/java/com/aivle0102/bigproject/security/oauth/HttpCookieOAuth2AuthorizationRequestRepository.java,"2.6.3 응용프로그램 접근, 2.8.1 보안 요구사항 정의, 2.8.2 보안 요구사항 검토 및 시험, 2.10.5 정보전송 보안",Logic Bypass
